iter	Passed	Remaining
640	1179	660
641	1181	658
642	1183	657
643	1185	655
644	1186	653
645	1188	651
646	1190	649
647	1191	647
648	1193	645
649	1195	643
650	1197	641
651	1198	639
652	1200	638
653	1202	636
654	1204	634
655	1206	632
656	1208	630
657	1209	628
658	1211	626
659	1213	625
660	1214	623
661	1216	621
662	1218	619
663	1219	617
664	1221	615
665	1223	613
666	1225	611
667	1227	610
668	1229	608
669	1231	606
670	1233	604
671	1235	602
672	1236	600
673	1238	599
674	1240	597
675	1242	595
676	1243	593
677	1245	591
678	1247	589
679	1248	587
680	1250	585
681	1252	583
682	1254	582
683	1255	580
684	1257	578
685	1259	576
686	1261	574
687	1263	572
688	1265	571
689	1266	569
690	1268	567
691	1270	565
692	1272	563
693	1273	561
694	1275	559
695	1277	557
696	1278	555
697	1280	553
698	1282	552
699	1283	550
700	1285	548
701	1287	546
702	1289	544
703	1290	542
704	1292	540
705	1294	539
706	1296	537
707	1298	535
708	1300	533
709	1302	531
710	1303	529
711	1305	527
712	1306	526
713	1308	524
714	1310	522
715	1311	520
716	1313	518
717	1315	516
718	1316	514
719	1318	512
720	1320	510
721	1322	509
722	1323	507
723	1325	505
724	1328	503
725	1330	502
726	1332	500
727	1334	498
728	1336	496
729	1337	494
730	1339	492
731	1340	490
732	1342	489
733	1344	487
734	1346	485
735	1347	483
736	1349	481
737	1351	479
738	1352	477
739	1354	475
740	1356	474
741	1358	472
742	1360	470
743	1362	468
744	1365	467
745	1367	465
746	1369	463
747	1370	461
748	1372	459
749	1374	458
750	1377	456
751	1378	454
752	1380	452
753	1382	450
754	1383	449
755	1385	447
756	1387	445
757	1389	443
758	1391	441
759	1393	440
760	1395	438
761	1397	436
762	1398	434
763	1400	432
764	1402	430
765	1404	428
766	1405	427
767	1407	425
768	1409	423
769	1410	421
770	1412	419
771	1414	417
772	1415	415
773	1417	413
774	1419	412
775	1422	410
776	1425	409
777	1427	407
778	1429	405
779	1431	403
780	1432	401
781	1435	400
782	1436	398
783	1438	396
784	1440	394
785	1442	392
786	1443	390
787	1445	388
788	1447	387
789	1449	385
790	1451	383
791	1453	381
792	1457	380
793	1460	378
794	1462	377
795	1465	375
796	1467	373
797	1469	372
798	1471	370
799	1473	368
800	1474	366
801	1476	364
802	1478	362
803	1480	360
804	1481	358
805	1483	357
806	1485	355
807	1486	353
808	1488	351
809	1490	349
810	1492	347
811	1494	345
812	1496	344
813	1497	342
814	1499	340
815	1501	338
816	1502	336
817	1504	334
818	1506	332
819	1507	330
820	1509	329
821	1511	327
822	1513	325
823	1514	323
824	1516	321
825	1518	319
826	1519	317
827	1522	316
828	1524	314
829	1526	312
830	1528	310
831	1529	308
832	1531	307
833	1533	305
834	1534	303
835	1536	301
836	1538	299
837	1539	297
838	1541	295
839	1543	293
840	1544	292
841	1546	290
842	1548	288
843	1550	286
844	1551	284
845	1553	282
846	1558	281
847	1560	279
848	1562	277
849	1564	276
850	1565	274
851	1567	272
852	1569	270
853	1571	268
854	1572	266
855	1574	264
856	1576	263
857	1577	261
858	1579	259
859	1581	257
860	1583	255
861	1587	254
862	1589	252
863	1591	250
864	1592	248
865	1594	246
866	1596	244
867	1597	242
868	1599	241
869	1601	239
870	1603	237
871	1604	235
872	1606	233
873	1608	231
874	1609	229
875	1611	228
876	1613	226
877	1615	224
878	1617	222
879	1619	220
880	1621	219
881	1623	217
882	1625	215
883	1626	213
884	1628	211
885	1630	209
886	1632	207
887	1633	206
888	1635	204
889	1637	202
890	1638	200
891	1640	198
892	1642	196
893	1643	194
894	1645	193
895	1647	191
896	1649	189
897	1651	187
898	1653	185
899	1654	183
900	1657	182
901	1658	180
902	1660	178
903	1662	176
904	1664	174
905	1665	172
906	1667	170
907	1669	169
908	1670	167
909	1672	165
910	1674	163
911	1676	161
912	1677	159
913	1679	158
914	1681	156
915	1683	154
916	1685	152
917	1687	150
918	1688	148
